Score,Feedback,Date,Response from Lawhive
1,"I wouldn't recommend as delayed in contact... quite rude to be honest as they don't like you to send too many emails...",2026-03-03,"Hi Tracy, Thank you for your review... We've requested further information so that this can be investigated..."
3,"Very disappointing. I have recently paid Lawhive over £2k and I'm still waiting to hear from a lawyer.",2026-03-03,"Hi Loretta, Thank you for your review... We're sorry that the assignment process has taken longer than the 2-working day estimate..."
5,"Julie listened and understood our issues, then guided us through their resolution. The process was painless...",2026-03-03,None
1,"Absolutely terrible never been messed about more in my entire life... we've had 4 different solicitors...",2026-03-03,"Hi Ellese, Thank you for sharing your feedback. We are incredibly sorry for the delays and the frustration..."
1,"The process has been very slow, and I have had to repeatedly chase the solicitor for updates.",2026-03-03,"Hi Nilesh, Thank you for your review and I'm sorry to hear about the slow updates on your case."
4,"Initially I was provided with a solicitor who was not helpful... eventually dropped me and I was given someone lovely called Suen.",2026-03-02,"Hi Kyomi, Thank you for your review. We're sorry for the frustration caused by the initial lack of progress..."
1,"Absolutely shocking experience so far... solicitors... give zero cares about your case... I'm thousands out of pocket.",2026-03-02,"Hi Ben, Thank you for your review... Your current experience is not at the Lawhive standard we wish to represent..."
1,"Awful. They set up an appointment... to tell me we can't help you. They could have emailed me back...",2026-03-18,"Hi Andrew, Thank you for your feedback. We're sorry for the frustration caused..."
4,"Lengthier than it should have been... The case was started 22Aug25... sale was finalised 13Mar26, nearly 7 months.",2025-09-17,None
1,"Not responding taken our money... was ready too transfer house over they released money... then put a stop on everything.",2026-03-17,"Hi Lisa, Thank you for your review. Your case... are currently being held due to an internal legal reason..."
1,"Lawhive, go elsewhere for your legal assistance... The caller mumbled something... and they actually hung up on me.",2026-03-11,"Hi Peter, We take all feedback seriously, but we must clarify the facts... our records show that the conversation ended when you hung up..."
1,"Wasted money and valuable time... The solicitor I was asigned to did not contact me over 14 days.",2026-03-09,"Hi Asy, Thank you for your review... this is not the standard of service we set out to deliver..."
1,"A simple house purchase made complicated... we asked Lawhive in October 2025 if we could both be represented... Answer, YES... then she raised an issue on the title deeds.",2026-02-20,"Dear Nina, Thank you for taking the time to share your feedback... updated guidelines meant this arrangement could no longer continue."
1,"Enquired about conveyancing... They then decided after 6 weeks that they could not complete as the property was not registered.",2025-11-13,"Hi John, Thank you for taking the time to share your feedback... this is not an area we currently handle."
1,"AVOID THIS FIRM AT ALL COST! ... LawHive have taken so far 3 weeks plus and refuse to send the funds to me.",2026-03-06,"Hi Charles, We understand your frustration... The release of these funds was subject to complex legal due diligence..."
1,"I started the equity transfer... on 25th September 2025... We are now in March 2026 and I still have no update.",2026-03-05,"Hi Iva, Thank you for your review... we ensured that a completion timeline was given to you swiftly..."
